Country;ISO3 Code;Date;Price (EUR/MWhe)
Austria;AUT;1/1/2015;35,86
Austria;AUT;2/1/2015;35,86
Austria;AUT;3/1/2015;35,86
Austria;AUT;4/1/2015;35,86
Austria;AUT;5/1/2015;36,18
Austria;AUT;6/1/2015;33,67
Austria;AUT;7/1/2015;38,59
Austria;AUT;8/1/2015;28,05
Austria;AUT;9/1/2015;24,48
Austria;AUT;10/1/2015;12,15
Austria;AUT;11/1/2015;1,49
Austria;AUT;12/1/2015;22,56
Austria;AUT;13/1/2015;24,97
Austria;AUT;14/1/2015;27,68
Austria;AUT;15/1/2015;24,76
Austria;AUT;16/1/2015;33,89
Austria;AUT;17/1/2015;31,26
Austria;AUT;18/1/2015;27,18
Austria;AUT;19/1/2015;42,75
Austria;AUT;20/1/2015;47
Austria;AUT;21/1/2015;44,93
Austria;AUT;22/1/2015;43,88
Austria;AUT;23/1/2015;42,26
Austria;AUT;24/1/2015;29,56
Austria;AUT;25/1/2015;28,43
Austria;AUT;26/1/2015;37,23
Austria;AUT;27/1/2015;33,21
Austria;AUT;28/1/2015;27,47
Austria;AUT;29/1/2015;26,93
Austria;AUT;30/1/2015;38,29
Austria;AUT;31/1/2015;29,78
Austria;AUT;1/2/2015;29,24
Austria;AUT;2/2/2015;42,47
Austria;AUT;3/2/2015;45,76
Austria;AUT;4/2/2015;48,49
Austria;AUT;5/2/2015;43,57
Austria;AUT;6/2/2015;39,29
Austria;AUT;7/2/2015;25,52
Austria;AUT;8/2/2015;13,33
Austria;AUT;9/2/2015;27,93
Austria;AUT;10/2/2015;44,4
Austria;AUT;11/2/2015;48,58
Austria;AUT;12/2/2015;48,15
Austria;AUT;13/2/2015;38,61
Austria;AUT;14/2/2015;32,74
Austria;AUT;15/2/2015;29,27
Austria;AUT;16/2/2015;35,63
Austria;AUT;17/2/2015;42,99
Austria;AUT;18/2/2015;43,22
Austria;AUT;19/2/2015;37,92
Austria;AUT;20/2/2015;30,91
Austria;AUT;21/2/2015;30,69
Austria;AUT;22/2/2015;32,76
Austria;AUT;23/2/2015;31,98
Austria;AUT;24/2/2015;34,8
Austria;AUT;25/2/2015;44,33
Austria;AUT;26/2/2015;37,12
Austria;AUT;27/2/2015;38,94
Austria;AUT;28/2/2015;28,81
Austria;AUT;1/3/2015;11,01
Austria;AUT;2/3/2015;26,57
Austria;AUT;3/3/2015;27,61
Austria;AUT;4/3/2015;26,21
Austria;AUT;5/3/2015;36,6
Austria;AUT;6/3/2015;40,09
Austria;AUT;7/3/2015;28
Austria;AUT;8/3/2015;22,82
Austria;AUT;9/3/2015;39,09
Austria;AUT;10/3/2015;37,77
Austria;AUT;11/3/2015;34,96
Austria;AUT;12/3/2015;39,37
Austria;AUT;13/3/2015;36,8
Austria;AUT;14/3/2015;31,99
Austria;AUT;15/3/2015;27,19
Austria;AUT;16/3/2015;30,86
Austria;AUT;17/3/2015;32,12
Austria;AUT;18/3/2015;36,51
Austria;AUT;19/3/2015;37,35
Austria;AUT;20/3/2015;35,3
Austria;AUT;21/3/2015;30,47
Austria;AUT;22/3/2015;26,33
Austria;AUT;23/3/2015;41,37
Austria;AUT;24/3/2015;48,2
Austria;AUT;25/3/2015;39,3
Austria;AUT;26/3/2015;40,83
Austria;AUT;27/3/2015;33,6
Austria;AUT;28/3/2015;26,4
Austria;AUT;29/3/2015;9,84
Austria;AUT;30/3/2015;18,7
Austria;AUT;31/3/2015;16,97
Austria;AUT;1/4/2015;20,68
Austria;AUT;2/4/2015;32,05
Austria;AUT;3/4/2015;24,14
Austria;AUT;4/4/2015;28,09
Austria;AUT;5/4/2015;25,26
Austria;AUT;6/4/2015;26,43
Austria;AUT;7/4/2015;36,03
Austria;AUT;8/4/2015;42,18
Austria;AUT;9/4/2015;42,25
